eta,SURVEY_YEAR
1.889153321376388e-14,2006
1.889153321376388e-14,2006
2.1516018615175235e-08,2006
4.926145734415056e-10,2006
4.926145734415056e-10,2006
4.926145734415056e-10,2006
4.926145734415056e-10,2006
1.781539012882358e-08,2006
1.781539012882358e-08,2006
1.781539012882358e-08,2006
1.781539012882358e-08,2006
4.1414793894674515e-05,2006
4.1414793894674515e-05,2006
4.807114236281836e-07,2006
4.807114236281836e-07,2006
4.807114236281836e-07,2006
4.807114236281836e-07,2006
9.49487994798712e-12,2006
9.49487994798712e-12,2006
9.49487994798712e-12,2006
9.49487994798712e-12,2006
9.49487994798712e-12,2006
4.5612080677880253e-07,2006
2.2775182546345375e-08,2006
2.2775182546345375e-08,2006
2.2775182546345375e-08,2006
2.2775182546345375e-08,2006
1.8771145685351614e-14,2006
9.822110946183012e-12,2006
9.822110946183012e-12,2006
9.822110946183012e-12,2006
9.822110946183012e-12,2006
1.7864570086506682e-14,2006
3.2161218292273634e-05,2006
6.677432524822564e-12,2006
3.6761087012236795e-12,2006
0.0004665780995785775,2006
3.7508892091865034e-12,2006
1.2093464174635567e-12,2006
1.2093464174635567e-12,2006
6.423281503055021e-07,2006
8.968589603173842e-07,2006
8.968589603173842e-07,2006
8.968589603173842e-07,2006
8.535714136698218e-08,2006
1.8626182825188658e-09,2006
1.8626182825188658e-09,2006
9.868118454500175e-09,2006
9.868118454500175e-09,2006
9.868118454500175e-09,2006
1.0335045775516795e-07,2006
1.0335045775516795e-07,2006
1.0335045775516795e-07,2006
1.0335045775516795e-07,2006
3.947318164542603e-08,2006
3.947318164542603e-08,2006
3.947318164542603e-08,2006
3.947318164542603e-08,2006
3.947318164542603e-08,2006
1.863364170045391e-14,2006
9.400539039587684e-09,2006
9.400539039587684e-09,2006
9.400539039587684e-09,2006
9.400539039587684e-09,2006
1.9989628234024568e-11,2006
1.9989628234024568e-11,2006
1.9989628234024568e-11,2006
2.438374534680377e-10,2006
2.438374534680377e-10,2006
2.438374534680377e-10,2006
2.438374534680377e-10,2006
1.9628723341083984e-11,2006
1.9628723341083984e-11,2006
1.9628723341083984e-11,2006
1.9628723341083984e-11,2006
1.3314036787338586e-08,2006
1.3314036787338586e-08,2006
1.3314036787338586e-08,2006
1.3314036787338586e-08,2006
2.361664954084023e-10,2006
2.361664954084023e-10,2006
2.361664954084023e-10,2006
5.068074157906508e-10,2006
5.068074157906508e-10,2006
1.3897098917893547e-05,2006
1.3897098917893547e-05,2006
1.3897098917893547e-05,2006
1.3897098917893547e-05,2006
1.5681613979769412e-14,2006
1.5681613979769412e-14,2006
1.5681613979769412e-14,2006
1.5681613979769412e-14,2006
8.482101236416684e-10,2006
8.482101236416684e-10,2006
8.482101236416684e-10,2006
8.482101236416684e-10,2006
1.9989628234024568e-11,2006
1.9989628234024568e-11,2006
1.9182107465649787e-11,2006
1.9182107465649787e-11,2006
1.9182107465649787e-11,2006
1.9182107465649787e-11,2006
8.465843255657939e-10,2006
8.465843255657939e-10,2006
8.465843255657939e-10,2006
8.465843255657939e-10,2006
2.0117830421427825e-11,2006
2.0117830421427825e-11,2006
1.1157565979085804e-05,2006
1.1157565979085804e-05,2006
1.1157565979085804e-05,2006
1.0524191311984824e-09,2006
1.0524191311984824e-09,2006
1.0524191311984824e-09,2006
1.957231566041252e-11,2006
1.957231566041252e-11,2006
1.957231566041252e-11,2006
5.7941578604974236e-09,2006
5.7941578604974236e-09,2006
0.0032889540968591012,2006
0.0032889540968591012,2006
0.0032889540968591012,2006
0.0032889540968591012,2006
0.0032889540968591012,2006
5.090448100416881e-07,2006
5.090448100416881e-07,2006
5.090448100416881e-07,2006
5.090448100416881e-07,2006
1.7620697820443885e-14,2006
1.889153321376388e-14,2006
9.967607206069152e-12,2006
9.967607206069152e-12,2006
9.555774746240722e-12,2006
9.555774746240722e-12,2006
9.555774746240722e-12,2006
1.6473988046274206e-11,2006
1.6473988046274206e-11,2006
1.6473988046274206e-11,2006
1.6473988046274206e-11,2006
1.8981612633110016e-09,2006
1.8981612633110016e-09,2006
1.8981612633110016e-09,2006
1.8981612633110016e-09,2006
1.8981612633110016e-09,2006
1.8981612633110016e-09,2006
4.923577290471797e-11,2006
4.923577290471797e-11,2006
4.923577290471797e-11,2006
4.923577290471797e-11,2006
0.0002919899168577917,2006
1.6849542859630572e-14,2006
1.6849542859630572e-14,2006
1.7620697820443885e-14,2006
1.7620697820443885e-14,2006
9.894591646247203e-12,2006
9.894591646247203e-12,2006
4.771172588256466e-10,2006
4.771172588256466e-10,2006
4.771172588256466e-10,2006
4.771172588256466e-10,2006
6.770680072643754e-05,2006
2.0212063647260706e-08,2006
2.0212063647260706e-08,2006
2.0212063647260706e-08,2006
2.0212063647260706e-08,2006
4.738296189664682e-11,2006
4.738296189664682e-11,2006
1.971674643997734e-11,2006
1.971674643997734e-11,2006
1.83792707077859e-14,2006
5.980493904149659e-14,2006
0.11980302055790938,2006
